  IBGE / SINAN — Municípios Notificadores  |  Brasil (Dados Fictícios);;;;;;;;;;;;;
COD_IBGE;MUNICIPIO;UF;ESTADO;REGIAO;POPULACAO;AREA_KM2;DENSIDADE_HAB_KM2;TOTAL_CASOS;CASOS_GRAVES;OBITOS;INCIDENCIA_100K;TX_LETALIDADE_PCT;ANO_REF
6726640;Itacoatiara;AM;Amazonas;N;3.148.556;3.205,5;982,2;48.957;3.374;47;1.554,9;0,10%;2002
8277938;Cuiabá;MT;Mato Grosso;CO;8.973.341;317,8;28.235,8;30.586;330;9;340,9;0,03%;2012
9165848;Timon;MA;Maranhão;NE;5.088.140;9.296,6;547,3;47.281;2.432;94;929,2;0,20%;2019
6077736;Sinop;MT;Mato Grosso;CO;1.478.273;1.920,1;769,9;6.252;104;0;422,9;0,00%;2000
4510288;Vitória;ES;Espírito Santo;SE;8.079.807;9.746,9;829,0;63.381;2.291;61;784,4;0,10%;2020
4203013;Cascavel;PR;Paraná;S;1.452.410;4.548,7;319,3;4.855;186;1;334,3;0,02%;2014
8470322;Uberlândia;MG;Minas Gerais;SE;8.145.735;7.098,8;1.147,5;153.413;3.767;57;1.883,4;0,04%;2014
1854332;São José;SC;Santa Catarina;S;5.609.074;167,7;33.447,1;111.100;5.864;230;1.980,7;0,21%;2020
5878387;São José;SC;Santa Catarina;S;629.045;7.338,1;85,7;8.410;382;10;1.336,9;0,12%;2015
4890733;Sinop;MT;Mato Grosso;CO;11.991.803;957,5;12.524,1;110.625;4.932;120;922,5;0,11%;2000
8941293;Camaçari;BA;Bahia;NE;1.969.940;7.447,1;264,5;22.725;838;16;1.153,6;0,07%;2020
4224602;Contagem;MG;Minas Gerais;SE;7.880.548;5.190,5;1.518,3;133.073;3.084;113;1.688,6;0,08%;2007
8859576;Paulista;PE;Pernambuco;NE;2.208.475;13.253,4;166,6;25.583;1.729;59;1.158,4;0,23%;2023
8924295;Rondonópolis;MT;Mato Grosso;CO;2.726.341;9.346,5;291,7;45.265;2.487;70;1.660,3;0,15%;2009
4346789;Uberlândia;MG;Minas Gerais;SE;2.630.515;9.105,9;288,9;52.001;1.817;72;1.976,8;0,14%;2003
4513701;Feira de Santana;BA;Bahia;NE;9.350.065;753,4;12.410,5;94.053;5.911;103;1.005,9;0,11%;2000
9446974;Uberlândia;MG;Minas Gerais;SE;544.367;12.111,9;44,9;7.055;118;1;1.296,0;0,01%;2010
9159855;Ananindeua;PA;Pará;N;4.333.537;14.905,3;290,7;6.117;343;8;141,2;0,13%;2011
9646766;Caxias do Sul;RS;Rio Grande do Sul;S;10.146.295;10.058,8;1.008,7;13.217;867;17;130,3;0,13%;2022
2776570;São Luís;MA;Maranhão;NE;10.251.707;9.164,4;1.118,6;147.448;1.845;16;1.438,3;0,01%;2003
4445809;Cuiabá;MT;Mato Grosso;CO;6.075.286;2.397,6;2.533,9;92.820;3.387;76;1.527,8;0,08%;2009
3588652;Goiânia;GO;Goiás;CO;10.864.418;5.487,9;1.979,7;32.239;1.963;39;296,7;0,12%;2004
5115720;Fortaleza;CE;Ceará;NE;7.954.752;5.152,7;1.543,8;44.895;678;12;564,4;0,03%;2016
7050592;Ponta Grossa;PR;Paraná;S;10.568.257;9.991,7;1.057,7;197.448;10.901;215;1.868,3;0,11%;2004
8194453;Vila Velha;ES;Espírito Santo;SE;6.943.859;13.774,4;504,1;135.307;7.804;137;1.948,6;0,10%;2014
3442499;Sorocaba;SP;São Paulo;SE;174.911;10.778,5;16,2;285;4;0;162,9;0,00%;2016
8282524;Londrina;PR;Paraná;S;1.039.267;5.929,3;175,3;4.946;317;2;475,9;0,04%;2001
5961432;Tangará da Serra;MT;Mato Grosso;CO;7.042.775;6.059,9;1.162,2;79.776;4.251;67;1.132,7;0,08%;2021
5693941;Recife;PE;Pernambuco;NE;8.862.875;9.175,5;965,9;105.889;3.893;47;1.194,7;0,04%;2004
8417942;Castanhal;PA;Pará;N;11.709.621;5.211,5;2.246,9;106.038;5.993;214;905,6;0,20%;2020
6611860;Rio de Janeiro;RJ;Rio de Janeiro;SE;6.551.005;10.890,2;601,6;115.327;2.025;80;1.760,4;0,07%;2023
2557253;Feira de Santana;BA;Bahia;NE;8.592.425;8.299,2;1.035,3;89.314;4.950;52;1.039,5;0,06%;2016
5340101;Santos;SP;São Paulo;SE;4.057.009;12.491,8;324,8;55.410;3.835;33;1.365,8;0,06%;2009
7257547;Santos;SP;São Paulo;SE;4.365.990;9.423,5;463,3;16.228;208;5;371,7;0,03%;2011
5998957;Duque de Caxias;RJ;Rio de Janeiro;SE;9.611.870;11.066,0;868,6;88.861;6.129;203;924,5;0,23%;2014
9947098;Coari;AM;Amazonas;N;9.999.652;3.545,9;2.820,1;74.589;3.730;125;745,9;0,17%;2009
7336179;Parintins;AM;Amazonas;N;8.726.559;11.075,8;787,9;85.943;3.522;41;984,8;0,05%;2003
8622050;Maringá;PR;Paraná;S;1.651.963;2.241,0;737,2;27.004;402;2;1.634,7;0,01%;2013
8990200;Caxias do Sul;RS;Rio Grande do Sul;S;3.611.484;6.720,2;537,4;68.977;2.356;57;1.909,9;0,08%;2011
5424046;Ponta Grossa;PR;Paraná;S;9.810.990;7.507,5;1.306,8;115.364;5.922;226;1.175,9;0,20%;2013
3732048;Rio Verde;GO;Goiás;CO;2.429.727;7.611,5;319,2;46.605;1.745;67;1.918,1;0,14%;2015
2980687;Castanhal;PA;Pará;N;11.659.285;3.229,0;3.610,8;8.547;468;17;73,3;0,20%;2015
7855503;Recife;PE;Pernambuco;NE;1.859.133;1.857,0;1.001,1;18.978;235;2;1.020,8;0,01%;2018
7282392;Olinda;PE;Pernambuco;NE;5.095.859;4.445,0;1.146,4;18.726;346;8;367,5;0,04%;2000
5756043;Guarulhos;SP;São Paulo;SE;3.624.856;2.787,0;1.300,6;64.067;648;15;1.767,4;0,02%;2023
8005748;Rio de Janeiro;RJ;Rio de Janeiro;SE;8.080.800;8.617,2;937,8;118.587;7.591;245;1.467,5;0,21%;2018
3228175;Codó;MA;Maranhão;NE;2.332.018;7.596,2;307,0;29.486;1.475;15;1.264,4;0,05%;2014
2498456;Anápolis;GO;Goiás;CO;10.489.908;9.984,3;1.050,6;101.511;2.433;45;967,7;0,04%;2013
8433920;Belém;PA;Pará;N;4.661.581;9.706,5;480,3;92.695;1.064;28;1.988,5;0,03%;2005
3076710;Maringá;PR;Paraná;S;10.811.087;8.412,3;1.285,2;162.189;6.894;217;1.500,2;0,13%;2006
4177535;Coari;AM;Amazonas;N;7.991.198;7.564,5;1.056,4;31.531;1.560;36;394,6;0,11%;2000
4452834;Guarulhos;SP;São Paulo;SE;4.123.227;12.453,9;331,1;58.226;877;20;1.412,1;0,03%;2018
1754700;Petrolina;PE;Pernambuco;NE;8.253.549;12.936,5;638,0;89.117;3.227;62;1.079,7;0,07%;2000
6324793;Chapecó;SC;Santa Catarina;S;6.417.080;3.894,8;1.647,6;13.019;553;8;202,9;0,06%;2003
2503717;Contagem;MG;Minas Gerais;SE;2.595.505;4.636,6;559,8;44.473;896;23;1.713,5;0,05%;2013
1455856;Caruaru;PE;Pernambuco;NE;11.975.198;924,6;12.951,8;25.885;755;14;216,2;0,05%;2012
7300065;Olinda;PE;Pernambuco;NE;2.037.477;825,6;2.467,9;39.125;1.766;39;1.920,3;0,10%;2007
7460044;Cascavel;PR;Paraná;S;1.938.745;4.075,8;475,7;30.462;1.315;9;1.571,2;0,03%;2010
4921514;Sorocaba;SP;São Paulo;SE;320.439;4.073,9;78,7;5.530;88;2;1.725,8;0,04%;2018
6110555;Várzea Grande;MT;Mato Grosso;CO;9.541.579;6.130,9;1.556,3;166.670;6.671;216;1.746,8;0,13%;2002
3821731;Contagem;MG;Minas Gerais;SE;4.121.127;8.086,2;509,6;72.764;2.699;13;1.765,6;0,02%;2013
5852800;Codó;MA;Maranhão;NE;10.964.509;14.582,6;751,9;15.774;1.041;22;143,9;0,14%;2000
7377917;Itacoatiara;AM;Amazonas;N;5.903.814;12.644,5;466,9;76.697;4.635;68;1.299,1;0,09%;2006
2173318;Montes Claros;MG;Minas Gerais;SE;5.051.874;1.391,2;3.631,3;16.118;964;29;319,0;0,18%;2022
4537478;Camaçari;BA;Bahia;NE;10.249.572;7.597,1;1.349,1;178.808;11.930;324;1.744,5;0,18%;2010
5580400;Ponta Grossa;PR;Paraná;S;4.133.991;9.951,0;415,4;44.778;1.013;39;1.083,2;0,09%;2010
3243545;Recife;PE;Pernambuco;NE;10.853.518;13.837,8;784,3;124.919;1.281;6;1.151,0;0,00%;2019
9203667;Juiz de Fora;MG;Minas Gerais;SE;6.597.940;8.095,1;815,1;20.322;860;31;308,0;0,15%;2020
3070570;São José;SC;Santa Catarina;S;5.930.268;14.582,0;406,7;108.457;4.997;92;1.828,9;0,08%;2012
3093190;Florianópolis;SC;Santa Catarina;S;7.770.692;5.588,7;1.390,4;116.543;1.230;38;1.499,8;0,03%;2006
7003240;Maringá;PR;Paraná;S;3.221.032;1.395,0;2.309,0;40.975;1.155;34;1.272,1;0,08%;2019
7090115;Cariacica;ES;Espírito Santo;SE;625.335;4.247,3;147,2;11.582;536;2;1.852,1;0,02%;2022
2861373;São José;SC;Santa Catarina;S;4.661.119;8.558,1;544,6;22.344;963;27;479,4;0,12%;2015
3944885;Coari;AM;Amazonas;N;1.104.569;8.843,1;124,9;2.131;37;1;192,9;0,05%;2023
9775825;Joinville;SC;Santa Catarina;S;4.610.459;2.918,2;1.579,9;3.030;210;6;65,7;0,20%;2021
5243311;Castanhal;PA;Pará;N;11.427.921;8.423,7;1.356,6;512;33;0;4,5;0,00%;2014
6419028;Cuiabá;MT;Mato Grosso;CO;7.264.954;12.672,9;573,3;71.836;1.242;28;988,8;0,04%;2013
9678130;Caxias;MA;Maranhão;NE;737.216;13.262,8;55,6;769;20;0;104,3;0,00%;2007
1086558;Caxias;MA;Maranhão;NE;6.582.301;2.959,4;2.224,2;6.651;461;5;101,0;0,08%;2002
2248902;Rio Verde;GO;Goiás;CO;4.202.038;2.993,3;1.403,8;40.737;560;15;969,5;0,04%;2010
8246900;Sorocaba;SP;São Paulo;SE;411.047;8.908,3;46,1;5.477;330;4;1.332,5;0,07%;2020
6717708;Imperatriz;MA;Maranhão;NE;921.231;12.333,4;74,7;7.757;516;16;842,0;0,21%;2016
2605088;Manacapuru;AM;Amazonas;N;10.499.611;6.724,5;1.561,4;22.422;1.535;56;213,6;0,25%;2003
2090992;Juazeiro do Norte;CE;Ceará;NE;2.147.695;976,9;2.198,5;3.590;100;2;167,2;0,06%;2014
1936000;Rio de Janeiro;RJ;Rio de Janeiro;SE;9.390.793;830,4;11.308,8;105.298;1.658;51;1.121,3;0,05%;2012
1177948;Cachoeiro;ES;Espírito Santo;SE;7.614.978;5.789,6;1.315,3;26.549;806;30;348,6;0,11%;2013
8618143;Curitiba;PR;Paraná;S;8.685.392;4.956,5;1.752,3;28.313;457;11;326,0;0,04%;2006
4248312;Petrópolis;RJ;Rio de Janeiro;SE;9.624.903;1.933,4;4.978,2;67.183;2.104;45;698,0;0,07%;2016
4119277;Manacapuru;AM;Amazonas;N;4.087.421;2.108,2;1.938,8;7.928;140;3;194,0;0,04%;2001
6220872;Santarém;PA;Pará;N;9.800.289;13.284,1;737,7;38.174;719;11;389,5;0,03%;2024
7187940;Olinda;PE;Pernambuco;NE;143.590;7.789,3;18,4;2.778;51;0;1.934,7;0,00%;2021
1916158;Chapecó;SC;Santa Catarina;S;7.089.010;5.190,1;1.365,9;52.759;3.013;51;744,2;0,10%;2006
8841710;Sinop;MT;Mato Grosso;CO;10.070.341;10.401,6;968,2;148.398;10.058;267;1.473,6;0,18%;2018
3722606;Juazeiro do Norte;CE;Ceará;NE;1.767.055;6.841,8;258,3;32.501;752;3;1.839,3;0,01%;2001
8827187;Vila Velha;ES;Espírito Santo;SE;10.475.640;3.236,4;3.236,8;192.567;10.803;362;1.838,2;0,19%;2015
4444636;Ponta Grossa;PR;Paraná;S;6.724.130;2.804,5;2.397,6;95.110;1.007;17;1.414,5;0,02%;2000
3389108;Belém;PA;Pará;N;4.883.059;6.634,1;736,1;76.767;4.971;87;1.572,1;0,11%;2020
4318952;Campinas;SP;São Paulo;SE;4.774.421;2.653,5;1.799,3;94.219;1.927;66;1.973,4;0,07%;2008
4288125;Vila Velha;ES;Espírito Santo;SE;368.576;2.682,4;137,4;828;9;0;224,6;0,00%;2008
6677129;Fortaleza;CE;Ceará;NE;3.535.197;4.610,8;766,7;48.449;2.837;79;1.370,5;0,16%;2007
8276581;Castanhal;PA;Pará;N;11.935.629;1.027,4;11.617,3;231.400;15.144;497;1.938,7;0,21%;2004
7345068;Cachoeiro;ES;Espírito Santo;SE;11.657.325;5.645,1;2.065,0;112.601;7.726;104;965,9;0,09%;2019
4172607;Santos;SP;São Paulo;SE;8.991.668;4.448,0;2.021,5;85.899;2.132;57;955,3;0,07%;2004
9527346;Feira de Santana;BA;Bahia;NE;9.807.273;13.293,2;737,8;190.656;2.837;60;1.944,0;0,03%;2006
2088389;Tangará da Serra;MT;Mato Grosso;CO;2.817.068;7.653,8;368,1;42.275;2.328;42;1.500,7;0,10%;2024
4003096;Marabá;PA;Pará;N;5.407.296;10.701,7;505,3;91.030;3.549;136;1.683,5;0,15%;2016
7726758;Caxias;MA;Maranhão;NE;10.713.635;13.821,7;775,1;170.324;2.077;26;1.589,8;0,02%;2018
4932320;Cariacica;ES;Espírito Santo;SE;6.650.099;3.318,0;2.004,2;98.850;4.377;165;1.486,4;0,17%;2013
2422018;Olinda;PE;Pernambuco;NE;2.261.688;11.286,8;200,4;29.131;1.198;15;1.288,0;0,05%;2009
9594331;Sorocaba;SP;São Paulo;SE;10.428.762;5.078,8;2.053,4;122.565;4.406;78;1.175,3;0,06%;2014
5580506;Caxias;MA;Maranhão;NE;6.423.119;419,5;15.311,4;30.643;794;6;477,1;0,02%;2014
5941189;Porto Alegre;RS;Rio Grande do Sul;S;8.426.218;7.716,2;1.092,0;20.488;1.170;43;243,1;0,21%;2020
2197032;Rio de Janeiro;RJ;Rio de Janeiro;SE;6.051.772;622,3;9.724,8;43.746;953;15;722,9;0,03%;2006
4198449;Vitória da Conquista;BA;Bahia;NE;11.846.718;9.080,3;1.304,7;224.132;12.359;381;1.891,9;0,17%;2004
1143174;Pelotas;RS;Rio Grande do Sul;S;5.032.342;4.263,6;1.180,3;52.928;3.532;119;1.051,8;0,22%;2011
8918912;Curitiba;PR;Paraná;S;10.981.826;7.714,1;1.423,6;39.133;2.423;31;356,3;0,08%;2024
8959753;Aparecida de Goiânia;GO;Goiás;CO;3.929.224;7.761,6;506,2;61.438;3.277;69;1.563,6;0,11%;2017
6252524;Curitiba;PR;Paraná;S;3.159.542;6.460,5;489,1;27.373;617;12;866,4;0,04%;2022
7286425;Belém;PA;Pará;N;2.339.197;8.683,8;269,4;20.025;1.333;7;856,1;0,03%;2004
6701271;Maringá;PR;Paraná;S;3.791.105;6.316,3;600,2;52.870;2.948;85;1.394,6;0,16%;2021
1389899;Vitória da Conquista;BA;Bahia;NE;9.530.369;11.791,1;808,3;40.289;2.765;110;422,7;0,27%;2004
7557976;Coari;AM;Amazonas;N;6.405.463;3.102,9;2.064,3;8.350;351;4;130,4;0,05%;2012
8575505;Nova Iguaçu;RJ;Rio de Janeiro;SE;10.728.696;13.426,4;799,1;44.937;730;17;418,8;0,04%;2002
9197571;Santos;SP;São Paulo;SE;458.275;2.841,0;161,3;6.322;170;2;1.379,5;0,03%;2002
2174060;Tangará da Serra;MT;Mato Grosso;CO;7.635.990;908,9;8.401,4;2.895;58;2;37,9;0,07%;2016
3634617;Maracanaú;CE;Ceará;NE;1.865.975;1.980,6;942,1;31.342;1.710;31;1.679,7;0,10%;2013
3179901;Caxias do Sul;RS;Rio Grande do Sul;S;3.458.687;4.680,9;738,9;62.230;1.215;30;1.799,2;0,05%;2022
4405319;Itabuna;BA;Bahia;NE;8.438.131;10.765,7;783,8;72.205;1.595;63;855,7;0,09%;2014
7698083;São Luís;MA;Maranhão;NE;10.155.675;12.123,1;837,7;86.216;5.571;199;848,9;0,23%;2016
1655733;Timon;MA;Maranhão;NE;1.536.449;4.354,3;352,9;11.363;591;17;739,6;0,15%;2014
3938131;Camaçari;BA;Bahia;NE;6.971.429;3.774,6;1.846,9;113.266;4.244;156;1.624,7;0,14%;2019
2602797;Montes Claros;MG;Minas Gerais;SE;6.610.695;10.494,7;629,9;62.834;3.966;41;950,5;0,07%;2001
5897094;Santa Maria;RS;Rio Grande do Sul;S;11.192.647;13.748,6;814,1;190.457;10.159;128;1.701,6;0,07%;2022
3033912;Timon;MA;Maranhão;NE;6.194.297;1.194,2;5.187,0;66.112;3.701;60;1.067,3;0,09%;2003
5240720;Imperatriz;MA;Maranhão;NE;3.487.126;7.615,7;457,9;3.501;50;1;100,4;0,03%;2014
7394729;Rio Verde;GO;Goiás;CO;5.773.619;11.202,1;515,4;51.992;637;8;900,5;0,02%;2006
6488001;Aparecida de Goiânia;GO;Goiás;CO;11.253.693;11.242,7;1.001,0;120.941;1.704;41;1.074,7;0,03%;2015
3353101;Cariacica;ES;Espírito Santo;SE;7.906.507;12.315,4;642,0;44.718;2.696;70;565,6;0,16%;2005
3082914;Contagem;MG;Minas Gerais;SE;8.978.002;11.134,6;806,3;20.338;1.022;5;226,5;0,02%;2005
8393014;Feira de Santana;BA;Bahia;NE;6.015.702;2.710,2;2.219,7;4.514;286;6;75,0;0,13%;2022
9772377;São Luís;MA;Maranhão;NE;10.762.399;9.955,0;1.081,1;26.946;900;14;250,4;0,05%;2021
1078278;Ribeirão Preto;SP;São Paulo;SE;824.458;11.597,5;71,1;6.610;434;7;801,7;0,11%;2024
2533209;Vila Velha;ES;Espírito Santo;SE;277.080;6.354,2;43,6;2.761;163;4;996,5;0,14%;2000
2620732;Niterói;RJ;Rio de Janeiro;SE;11.149.896;2.559,8;4.355,8;11.537;403;3;103,5;0,03%;2005
4180079;Olinda;PE;Pernambuco;NE;10.488.279;3.146,4;3.333,4;103.563;6.869;63;987,4;0,06%;2017
6982358;Vitória;ES;Espírito Santo;SE;5.433.211;2.645,6;2.053,7;85.720;2.483;46;1.577,7;0,05%;2012
2107569;Imperatriz;MA;Maranhão;NE;11.046.765;12.235,5;902,8;163.554;5.256;38;1.480,6;0,02%;2020
6058905;Cariacica;ES;Espírito Santo;SE;10.055.356;7.518,7;1.337,4;186.785;7.876;312;1.857,6;0,17%;2003
3876606;Chapecó;SC;Santa Catarina;S;4.234.854;14.387,6;294,3;42.513;2.928;85;1.003,9;0,20%;2019
6570816;Várzea Grande;MT;Mato Grosso;CO;2.949.566;9.548,5;308,9;20.838;1.431;40;706,5;0,19%;2022
1296097;Nova Iguaçu;RJ;Rio de Janeiro;SE;10.217.494;13.685,9;746,6;100.236;4.075;126;981,0;0,13%;2014
1222997;Castanhal;PA;Pará;N;3.910.479;367,1;10.652,4;16.260;463;14;415,8;0,09%;2024
2331937;Londrina;PR;Paraná;S;1.013.341;2.106,5;481,1;9.719;214;3;959,1;0,03%;2015
4994050;Cuiabá;MT;Mato Grosso;CO;10.042.036;14.828,8;677,2;193.791;12.139;117;1.929,8;0,06%;2014
9738796;Recife;PE;Pernambuco;NE;6.968.756;9.738,3;715,6;6.211;147;4;89,1;0,06%;2009
4453043;Caruaru;PE;Pernambuco;NE;9.056.149;858,4;10.550,0;65.100;3.781;111;718,8;0,17%;2021
7400271;Cachoeiro;ES;Espírito Santo;SE;8.756.847;4.858,5;1.802,4;165.093;1.710;60;1.885,3;0,04%;2014
1874208;Niterói;RJ;Rio de Janeiro;SE;10.650.911;14.880,6;715,8;32.915;510;13;309,0;0,04%;2006
4964626;Joinville;SC;Santa Catarina;S;8.521.171;1.218,6;6.992,6;122.440;3.512;106;1.436,9;0,09%;2023
3960096;Cariacica;ES;Espírito Santo;SE;10.172.497;3.772,1;2.696,8;151.105;5.575;151;1.485,4;0,10%;2009
2342445;Camaçari;BA;Bahia;NE;6.040.783;6.003,8;1.006,2;61.697;2.250;51;1.021,3;0,08%;2005
3615206;Rio Verde;GO;Goiás;CO;8.094.630;346,2;23.381,4;112.039;6.861;216;1.384,1;0,19%;2012
3563536;Pelotas;RS;Rio Grande do Sul;S;9.283.319;10.913,4;850,6;99.732;3.771;78;1.074,3;0,08%;2008
9067229;Sobral;CE;Ceará;NE;1.214.947;5.031,9;241,4;15.376;334;12;1.265,6;0,08%;2022
9400348;São Paulo;SP;São Paulo;SE;6.287.004;7.397,2;849,9;123.245;4.150;128;1.960,3;0,10%;2013
6164208;Maracanaú;CE;Ceará;NE;10.763.012;14.813,5;726,6;107.161;6.761;268;995,6;0,25%;2002
3723988;Duque de Caxias;RJ;Rio de Janeiro;SE;3.266.608;11.456,1;285,1;50.545;3.274;99;1.547,3;0,20%;2008
7177044;Marabá;PA;Pará;N;11.692.582;912,7;12.811,0;111.159;6.018;81;950,7;0,07%;2012
7063525;Santos;SP;São Paulo;SE;10.593.629;10.613,1;998,2;182.837;9.130;92;1.725,9;0,05%;2000
3472414;Manacapuru;AM;Amazonas;N;4.274.245;3.748,9;1.140,1;21.158;227;7;495,0;0,03%;2018
7671743;Sinop;MT;Mato Grosso;CO;11.853.885;8.813,1;1.345,0;135.931;8.780;313;1.146,7;0,23%;2002
5242475;Juiz de Fora;MG;Minas Gerais;SE;11.615.095;4.568,2;2.542,6;172.618;10.909;278;1.486,2;0,16%;2017
2491048;Rio Verde;GO;Goiás;CO;1.841.314;9.560,9;192,6;22.570;1.328;19;1.225,8;0,08%;2024
6169066;Cariacica;ES;Espírito Santo;SE;115.714;14.806,0;7,8;6;0;0;5,2;0,00%;2015
7993453;Sobral;CE;Ceará;NE;10.989.043;4.360,7;2.520,0;44.730;920;10;407,0;0,02%;2013
9161633;Uberlândia;MG;Minas Gerais;SE;3.061.190;7.564,1;404,7;29.534;1.300;16;964,8;0,05%;2003
4065690;Vitória;ES;Espírito Santo;SE;3.227.293;3.927,3;821,8;28.883;1.375;36;895,0;0,12%;2013
2338986;Joinville;SC;Santa Catarina;S;4.925.831;1.331,3;3.700,0;36.275;502;3;736,4;0,01%;2003
9140210;Cariacica;ES;Espírito Santo;SE;11.295.787;11.420,0;989,1;16.005;415;15;141,7;0,09%;2000
1702283;Tangará da Serra;MT;Mato Grosso;CO;1.632.736;3.205,5;509,4;12.309;568;22;753,9;0,18%;2000
9152488;Maringá;PR;Paraná;S;7.947.511;11.365,8;699,2;112.578;3.399;98;1.416,5;0,09%;2019
5019771;Olinda;PE;Pernambuco;NE;6.068.108;9.992,9;607,2;80.059;1.075;18;1.319,3;0,02%;2012
1051752;Recife;PE;Pernambuco;NE;7.673.833;13.064,6;587,4;36.402;420;3;474,4;0,01%;2012
5169769;Santarém;PA;Pará;N;6.189.227;6.806,2;909,4;86.360;5.370;123;1.395,3;0,14%;2021
1052497;Várzea Grande;MT;Mato Grosso;CO;10.713.092;14.365,3;745,8;4.359;209;7;40,7;0,16%;2010
8454220;Maringá;PR;Paraná;S;3.926.463;9.121,1;430,5;10.665;329;12;271,6;0,11%;2012
2685367;Canoas;RS;Rio Grande do Sul;S;6.464.854;4.443,3;1.455,0;93.315;1.734;40;1.443,4;0,04%;2006
1532605;Coari;AM;Amazonas;N;2.153.157;7.494,0;287,3;19.749;1.183;47;917,2;0,24%;2002
3819458;São José;SC;Santa Catarina;S;7.495.448;14.328,0;523,1;141.732;3.465;42;1.890,9;0,03%;2015
2769487;Curitiba;PR;Paraná;S;7.304.300;14.900,8;490,2;42.004;2.761;45;575,1;0,11%;2000
4697296;Juazeiro do Norte;CE;Ceará;NE;4.330.289;10.005,7;432,8;16.134;805;30;372,6;0,19%;2021
2517360;Sinop;MT;Mato Grosso;CO;11.614.218;5.025,4;2.311,1;150.987;8.452;219;1.300,0;0,15%;2007
7325183;Rondonópolis;MT;Mato Grosso;CO;6.411.032;9.826,1;652,4;126.648;7.772;258;1.975,5;0,20%;2017
2940955;Serra;ES;Espírito Santo;SE;4.889.775;1.360,8;3.593,3;44.595;2.427;91;912,0;0,20%;2002
7169603;Goiânia;GO;Goiás;CO;2.145.710;12.807,3;167,5;37.808;2.049;32;1.762,0;0,08%;2012
4185283;Coari;AM;Amazonas;N;6.520.001;14.698,7;443,6;101.093;3.225;92;1.550,5;0,09%;2010
9719981;Londrina;PR;Paraná;S;11.143.755;9.044,2;1.232,1;27.940;942;22;250,7;0,08%;2007
3427676;Caxias;MA;Maranhão;NE;4.987.872;12.566,4;396,9;89.126;3.328;86;1.786,9;0,10%;2015
